StrikerName,BatRuns,WagonWheel
Mitchell Marsh,0,Third Man
Mitchell Marsh,1,Third Man
Mitchell Marsh,0,Covers
Mitchell Marsh,1,Covers
Mitchell Marsh,0,Long Off
Mitchell Marsh,1,Square Leg
Glenn Maxwell,4,Square Leg
Glenn Maxwell,4,Third Man
Glenn Maxwell,0,Fine Leg
Glenn Maxwell,1,Third Man
Glenn Maxwell,1,Covers
Glenn Maxwell,4,Fine Leg
Glenn Maxwell,1,Fine Leg
Glenn Maxwell,6,Square Leg
Glenn Maxwell,1,Square Leg
Mitchell Marsh,0,Third Man
Mitchell Marsh,1,Square Leg
Glenn Maxwell,0,Point
Mitchell Marsh,2,Long On
Mitchell Marsh,4,Long On
Mitchell Marsh,1,Long Off
Glenn Maxwell,0,Fine Leg
Glenn Maxwell,1,Fine Leg
Glenn Maxwell,1,Third Man
Mitchell Marsh,1,Long On
Mitchell Marsh,0,Third Man
Mitchell Marsh,1,Long Off
Glenn Maxwell,0,Third Man
Glenn Maxwell,0,Covers
Glenn Maxwell,1,Square Leg
Mitchell Marsh,1,Long Off
Mitchell Marsh,4,Long Off
Mitchell Marsh,1,Mid Wicket
Glenn Maxwell,1,Mid Wicket
Mitchell Marsh,1,Long Off
Glenn Maxwell,4,Third Man
Mohammad Rizwan,1,Fine Leg
Babar Azam,0,Square Leg
Babar Azam,0,Long Off
Babar Azam,4,Fine Leg
Babar Azam,1,Square Leg
Mohammad Rizwan,0,Third Man
Babar Azam,0,Long On
Babar Azam,4,Covers
Babar Azam,1,Long On
Mohammad Rizwan,0,Third Man
Mohammad Rizwan,0,Long Off
Mohammad Rizwan,0,Covers
Babar Azam,0,Long Off
Babar Azam,1,Mid Wicket
Mohammad Rizwan,4,Long Off
Mohammad Rizwan,1,Covers
Babar Azam,0,Square Leg
Babar Azam,4,Square Leg
Mohammad Rizwan,1,Fine Leg
Mohammad Rizwan,1,Point
Babar Azam,4,Square Leg
Babar Azam,1,Square Leg
Mohammad Rizwan,1,Fine Leg
Babar Azam,0,Mid Wicket
Babar Azam,0,Point
Mohammad Rizwan,6,Square Leg
Mohammad Rizwan,1,Third Man
Babar Azam,1,Covers
Mohammad Rizwan,0,Third Man
Mohammad Rizwan,1,Covers
Babar Azam,0,Third Man
Mohammad Rizwan,1,Fine Leg
Babar Azam,3,Covers
Mohammad Rizwan,4,Square Leg
Mohammad Rizwan,0,Long On
Mohammad Rizwan,0,Long On
Mohammad Rizwan,1,Fine Leg
Mohammad Rizwan,1,Third Man
Babar Azam,1,Long On
Mohammad Rizwan,0,Long On
Mohammad Rizwan,1,Long On
Babar Azam,0,Long On
Babar Azam,1,Covers
Babar Azam,2,Point
Babar Azam,4,Mid Wicket
Babar Azam,0,Point
Babar Azam,2,Covers
Babar Azam,1,Fine Leg
Babar Azam,1,Mid Wicket
Mohammad Rizwan,1,Mid Wicket
Mohammad Rizwan,1,Mid Wicket
Babar Azam,1,Mid Wicket
Mohammad Rizwan,1,Covers
Babar Azam,1,Mid Wicket
Mohammad Rizwan,1,Mid Wicket
Babar Azam,1,Long On
Babar Azam,0,Point
Babar Azam,1,Third Man
Babar Azam,0,Covers
Babar Azam,1,Long On
Mohammad Rizwan,1,Long On
Babar Azam,0,Point
Babar Azam,0,Long On
Mohammad Rizwan,0,Fine Leg
Mohammad Rizwan,1,Square Leg
Fakhar Zaman,0,Fine Leg
Fakhar Zaman,1,Long On
Mohammad Rizwan,0,Long On
Mohammad Rizwan,2,Mid Wicket
Fakhar Zaman,1,Mid Wicket
Mohammad Rizwan,2,Mid Wicket
Mohammad Rizwan,6,Mid Wicket
Mohammad Rizwan,4,Third Man
Mohammad Rizwan,0,Square Leg
Mohammad Rizwan,1,Long Off
Mohammad Rizwan,1,Square Leg
Fakhar Zaman,0,Long Off
Fakhar Zaman,1,Point
Mohammad Rizwan,0,Mid Wicket
Mohammad Rizwan,1,Covers
Fakhar Zaman,0,Mid Wicket
Mohammad Rizwan,1,Square Leg
Fakhar Zaman,1,Third Man
Fakhar Zaman,4,Mid Wicket
Fakhar Zaman,0,Long On
Fakhar Zaman,1,Mid Wicket
Mohammad Rizwan,6,Mid Wicket
Mohammad Rizwan,1,Point
