MatchtypeId,CompName,date,matchid,battingclubid,overs,Phase3idStar,Phase3idStarPhrase,Phase4id,Phase4idPhrase,batruns,0s,1s,2s,3s,4s,6s,StrikerName,PaceorSpin,BowlingTypeGroup,Batwkts,LengthX,LengthY,HeightX,HeightY,StrikerBattingType,WWregion63,StrikerBattingType
3,AusvsNZ,18-06-2021,10213,5,9.6,2,7 to 15,2,7 to 10,1,,1,0,0,0,0,Kane Williamson,2,5,0,117,564,256,381,1,15,1
3,AusvsNZ,18-06-2021,10213,5,10.1,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Kane Williamson,1,2,0,101,828,263,314,1,18,1
3,AusvsNZ,18-06-2021,10213,5,10.2,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Martin Guptill,1,2,0,131,528,292,382,1,1,1
3,AusvsNZ,18-06-2021,10213,5,10.3,2,7 to 15,3,11 to 16,2,,0,1,0,0,0,Kane Williamson,1,2,0,160,432,298,382,1,6,1
3,AusvsNZ,18-06-2021,10213,5,10.4,2,7 to 15,3,11 to 16,4,,0,0,0,1,0,Kane Williamson,1,2,0,132,16,272,348,1,18,1
3,AusvsNZ,18-06-2021,10213,5,10.5,2,7 to 15,3,11 to 16,4,,0,0,0,1,0,Kane Williamson,1,2,0,131,555,263,380,1,23,1
3,AusvsNZ,18-06-2021,10213,5,10.6,2,7 to 15,3,11 to 16,4,,0,0,0,1,0,Kane Williamson,1,2,0,120,46,247,309,1,22,1
3,AusvsNZ,18-06-2021,10213,5,10.6,2,7 to 15,3,11 to 16,2,,0,1,0,0,0,Kane Williamson,1,2,0,58,323,207,384,1,18,1
3,AusvsNZ,18-06-2021,10213,5,11.1,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Martin Guptill,2,5,1,171,534,300,368,1,5,1
3,AusvsNZ,18-06-2021,10213,5,11.2,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Kane Williamson,2,5,0,155,525,274,365,1,22,1
3,AusvsNZ,18-06-2021,10213,5,11.3,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Kane Williamson,2,5,0,120,51,243,371,1,15,1
3,AusvsNZ,18-06-2021,10213,5,11.4,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Glenn Phillips,2,5,0,168,603,309,332,1,23,1
3,AusvsNZ,18-06-2021,10213,5,11.5,2,7 to 15,3,11 to 16,2,,0,1,0,0,0,Kane Williamson,2,5,0,155,698,278,335,1,10,1
3,AusvsNZ,18-06-2021,10213,5,11.6,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Kane Williamson,2,5,0,86,419,258,366,1,10,1
3,AusvsNZ,18-06-2021,10213,5,12.1,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Kane Williamson,2,3,0,209,657,307,334,1,8,1
3,AusvsNZ,18-06-2021,10213,5,12.2,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Glenn Phillips,2,3,0,172,425,307,384,1,19,1
3,AusvsNZ,18-06-2021,10213,5,12.3,2,7 to 15,3,11 to 16,6,,0,0,0,0,1,Kane Williamson,2,3,0,172,623,297,353,1,21,1
3,AusvsNZ,18-06-2021,10213,5,12.4,2,7 to 15,3,11 to 16,6,,0,0,0,0,1,Kane Williamson,2,3,0,172,500,291,378,1,21,1
3,AusvsNZ,18-06-2021,10213,5,12.5,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Kane Williamson,2,3,0,139,26,273,348,1,21,1
3,AusvsNZ,18-06-2021,10213,5,12.6,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Glenn Phillips,2,3,0,156,603,237,333,1,19,1
3,AusvsNZ,18-06-2021,10213,5,13.1,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Glenn Phillips,1,1,0,139,569,278,374,1,6,1
3,AusvsNZ,18-06-2021,10213,5,13.2,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Glenn Phillips,1,1,0,117,630,268,363,1,17,1
3,AusvsNZ,18-06-2021,10213,5,13.3,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Glenn Phillips,1,1,0,93,814,224,319,1,19,1
3,AusvsNZ,18-06-2021,10213,5,13.4,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Kane Williamson,1,1,0,92,862,260,306,1,11,1
3,AusvsNZ,18-06-2021,10213,5,13.5,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Glenn Phillips,1,1,0,105,921,272,280,1,21,1
3,AusvsNZ,18-06-2021,10213,5,13.6,2,7 to 15,3,11 to 16,2,,0,1,0,0,0,Kane Williamson,1,1,0,76,935,196,293,1,11,1
3,AusvsNZ,18-06-2021,10213,5,14.1,2,7 to 15,3,11 to 16,6,,0,0,0,0,1,Glenn Phillips,2,5,0,115,453,259,379,1,4,1
3,AusvsNZ,18-06-2021,10213,5,14.2,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Glenn Phillips,2,5,0,145,555,263,354,1,3,1
3,AusvsNZ,18-06-2021,10213,5,14.3,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Glenn Phillips,2,5,0,172,609,301,354,1,19,1
3,AusvsNZ,18-06-2021,10213,5,14.4,2,7 to 15,3,11 to 16,1,,1,0,0,0,0,Kane Williamson,2,5,0,139,398,281,381,1,1,1
3,AusvsNZ,18-06-2021,10213,5,14.5,2,7 to 15,3,11 to 16,4,,0,0,0,1,0,Glenn Phillips,2,5,0,99,412,255,374,1,23,1
3,AusvsNZ,18-06-2021,10213,5,14.6,2,7 to 15,3,11 to 16,0,1,0,0,0,0,0,Glenn Phillips,2,5,0,175,623,305,334,1,21,1
3,AusvsNZ,18-06-2021,10213,5,15.1,2,7 to 15,3,11 to 16,4,,0,0,0,1,0,Kane Williamson,1,2,0,117,412,264,373,1,15,1
3,AusvsNZ,18-06-2021,10213,5,15.2,2,7 to 15,3,11 to 16,4,,0,0,0,1,0,Kane Williamson,1,2,0,180,569,295,377,1,8,1
